,id,Unnamed: 0,propertyType,name,publishedOn,address,latitude,longitude,price,priceActual,priceMax,priceMin,livingRooms,beds,bedsMax,bedsMin,isRetirementHome,isSharedOwnership,studentFriendly,Available April,Available now,Balcony,Furnished,Garage,Gas Central Heating,No Agent Fees,Students Can Enquire,Unfurnished
0,66742386,0,flat,1 bed flat to rent,2024-02-27T20:40:30,"Kensington Court, Bath BA1",51.393171,-2.350283,2700,2700,2750,2500,0,1,1,1,False,False,False,False,False,False,False,False,False,True,True,False
1,66977057,1,terraced,2 bed property to rent,2024-03-27T13:47:26,"Circus Mews, Bath BA1",51.387067,-2.364506,1450,1450,1500,1250,1,2,2,2,False,False,False,True,False,False,False,False,False,False,False,False
2,66990268,2,semi_detached,5 bed semi-detached house to rent,2024-03-28T16:03:26,"Springfield Place, Bath, Somerset BA1",51.393226,-2.364527,10000,10000,10000,10000,6,5,5,5,False,False,False,False,False,False,False,False,False,False,False,False
3,67088749,3,terraced,3 bed property to rent,2024-04-11T15:18:07,"Freeview Road, Twerton, Bath BA2",51.378308,-2.395314,1650,1650,1750,1500,0,3,3,3,False,False,False,False,False,False,False,False,False,False,False,False
4,67101913,4,flat,2 bed flat to rent,2024-04-12T19:48:42,"The Moorlands, Bath BA2",51.369482,-2.377655,1100,1100,1250,1000,0,2,2,2,False,False,False,False,False,False,False,False,False,True,False,False
5,66788732,5,flat,2 bed flat to rent,2024-03-05T00:04:33,"Flat 8, The Grange, Weston Park West, Bath BA1",51.394292,-2.382138,1750,1750,1750,1750,1,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False
6,67056843,6,semi_detached,4 bed semi-detached house to rent,2024-04-08T14:13:51,"Wellsway, Bath BA2",51.3554,-2.38193,2100,2100,2250,2000,2,4,4,4,False,False,False,False,False,False,False,False,False,False,False,True
7,62248461,7,flat,2 bed flat to rent,2024-04-04T13:01:17,"Grosvenor Place, Larkhall, Bath BA1",51.394074,-2.345863,1525,1525,1750,1500,1,2,2,2,False,False,False,False,False,False,False,False,True,False,False,True
8,43215718,8,semi_detached,3 bed semi-detached house to rent,2024-03-19T10:46:42,"Wellington Buildings, Bath BA1",51.39752,-2.39075,1450,1450,1500,1250,1,3,3,3,False,False,False,False,False,False,False,False,False,False,False,False
9,66952194,9,bungalow,4 bed bungalow to rent,2024-03-25T10:51:27,"Englishcombe Lane, Bath BA2",51.367567,-2.388786,3500,3500,3500,3500,2,4,4,4,False,False,False,False,False,False,False,False,False,False,False,False
10,44210470,10,terraced,3 bed property to rent,2024-04-08T17:13:26,"Cranmore Place, Odd Down, Bath BA2",51.355908,-2.373895,1525,1525,1750,1500,1,3,3,3,False,False,False,True,False,False,False,False,False,False,False,True
